Respondent?s name ,SL,Address  ,Mahalla/village,Upazila / Thana ,Zila (district) ,Landmark (renowned structure name/ road intersection) ,Location type,Name of supervisor ,Interviewer?s name ,GPS coordinates ,Interviewer visits ,Interview start time ,Interview end time ,Interviewer ID number,Respondent  consent,Contact number ,Age,Gender,Married,Can read a bangla letter ,Education,Name of Establishment / Store / Outlet owner,Type of business,Number of day store open (Weekly),Total household member,Adult household member,Income source,Common sell item (five number),Full time worker,Business duration,Previous occupation,Major goals for business,Main barriers and challenges ,Support Type,Training Type,Ownership type ,Business located ,Property ownership,Structure type of the store,Facilities,Trade license,Number of Employee,Number of support member(Family),Number of contractual employee,Total Employee, Average number customer,Average sell per customer,Percentage of known/regular customer,Credit offer,Monthly  credit sell percentage ,Income from daily sells,Expendature from daily sells ,Agreement with statement,Monetary problem for payment,Feel safe in cash payment ,Concern about money safeness,Cash Transactions difficulty,Feel lack of capital, Need  products in stock for better business  ,Maintaining accounts type, Mainatining accounts for goods,Maintaining  household expenses,Separate household and business expenses,Supplies of goods/merchandise,Overall supplies from one point,Payment Terms by Supply Mode,Payment Terms for company distributor ,Payment Terms for company/manufacturer,Payment terms for wholesalers,Payment terms in nearby haaat,Payment terms in same/nearby area,Payment terms in others (specify),Frequency of replenish  stock/procure goods and supplies,Credit or installment payment for goods in last year,Last year taken any personal/ business loan, Pending business loans,Amounts of pending loan,Amounts of current pending business loan,Largest loan taken location, Would take loan if possible ,Access to loan,Family members have feature (phone with internet connection facility) / basic phone , Family membersÿown a smartphone with a touchscreen,Family membersÿdo not own a phone,Have Personal Phone,Type of Phone,use of personal mobile phone,Challenges  of personal mobile phone,Usees of computer(personal/business),Internet Connectivity in store computer,Frequentness of receiving stock/services from  suppliers,Frequentness of payment to  suppliers,Payment Terms to Suppliers,Problem facing on time payment,Barriers through mobile account payment for suppliers,Access to services,Distance from the store, Cost to reach  from the store, Nearest bank branch (any bank),Nearest ATM,Nearest bKash/Rocket or other digital payment agent ,"Nearest place from where send or receive money (if it is one of the above mentioned, then repeat that  information) ","Nearest place where can recharge (buy airtime or top-up) your mobile (if it is one of the above mentioned, then repeat that  information) ",Have bank account,Last use of account,Bank Name,Bank account for business activity, Use your bank account,Reaching time (minutes) in bank,Cost to reach bank,Reasons of not having a bank account,Headed mobile money,Have any MFS account,Likeness  of three things  in mobile money service,Name three things like least about mobile money service,Name of mobile money service(if available),Personal or merchant account,Name three things you like most about transferring money via your mobile money serviceÿ,Name three things you like least about transferring money via your mobile money service,Last time heared MFS,Accepted MFS from customers,From time accepted MFS, Any changes of customers from using digital MFS,Frequentness of using  merchant account (for business purpose),User friendlyness of MFS ,Reason for not accceptance MFS, Make payments any mobile payment system to your suppliers,Reason not using MFS for suppliers,Acceptancy of payment through debit/credit card ,Percentage customer who pay using card,Cash,Pays using a debit/ credit card ,Pay through mobile payment service,make time to transactions,Cash2,Pays using a debit/ credit card 3,Pay through mobile payment service4,Benefits of receiving payments through mobile payment service,Problem facing for receiving mobile payment ,Face monthly limit barrier, Payments not received because of not getting system confirmation on time,Could not receive payments because of cell phone connectivity ,Customer could not make the payment because of system problem,Customer could not make the payment because of lack of balance on mobile money account,Customer made a mistake ,Transaction was slow/resulted in long lines ,Other (specify)  ,Increase the percentage of your sales (number of customer) that is paid through mobile payment service,Not  interested because increase the percentage,Member of  an asscociation,Name of Association,How many household members are 12-years-old or youngerÿ?,Do all children ages 6 to 12 currently attend a school/educational institutionÿ?,"In the past year, did any household member ever do work for which he/she was paid on a daily basisÿ?",How many rooms does your household occupy (excluding rooms used for businessÿ)?,What is the major construction material of the walls of the main roomÿ? ,Does the household own any televisionsÿ?,How many fans does the household ownÿ?,How many mobile phones does the household ownÿ?,"Does the household own any bicycles, motorcycle/scooters, or motor cars, etcÿ.?",Does the household own (or rent/sharecrop/mortgage in or out) 51 or more decimals of cultivable agricultural land (excluding uncultivable land and dwelling ? house/homestead landÿ)? 
,279,,,,,,RURAL,,,,Visit 1,,,279,Yes,,19,Male,Yes,No,Secondary Vocational Training complete/ certificate complete,,Variety/General store,6,6,4,No Response,,No,15,Farming/agriculture,,Poor physical infrastructure,,Business plan writing,Single proprietorship,Attached with residence,Rent,Permanent kiosk,Electricity connection,No,3,1,3,,215,63,Don't know,"Yes, regularly",0%,2237,Give it to someone for safekeeping,,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Do not keep accounts daily,I keep my accounts by remembering,No,Yes,Directly from the company/manufacturer,11,Cash,Cash & Credit both,Cash & Credit both,Cash & Credit both,Cash,Cash & Credit both,Cash & Credit both,4-6 days a week,Rarely,Yes,Yes,2,13035,From friends,Agree somewhat,Disagree somewhat,2,1,2,Yes,Feature/basic/camera phone,Browse the internet,Network connectivity problem / poor mobile service,No,"Yes, frequently",2-3 times a month,Once a week,Through my bank account,Other,Fee is too high,,9,29,0,2,4,2,5,Personal account,In the past 30 days,EXIM bank,Yes,Mobile app/mobile banking,12,20,I do not need a bank account,No,No,,,Rocket (DBBL),Merchant,,,In the past 90 days,No,2015,Somewhat increased,Once a week,Somewhat easy,Many customers do not think that it is convenient or useful,Yes,High charge,No,Yes,91-100%,51-60%,91-100%,,115,2414,1210,It is free,,"Yes, sometimes","No, never","No, never","Yes, sometimes","Yes, frequently","Yes, frequently","Yes, frequently","Yes, sometimes",,The service is not reliable,Yes,Co-opeartive,One,No members at age 6-to-12,No,One,"Hemp/hay/bamboo, or other",No,One,One,No,Yes
,280,,,,,,URBAN,,,,Visit 2,,,280,No,,23,Male,No,Yes,Secondary education,,Conrfectionery,5,6,5,Pension,,No,9,Other,,Not applicable,,Technical training,Single proprietorship,Separate from resident,Rent,Permanent kiosk,Electricity connection,No,2,2,2,,201,24,Between 26 - 50% customers are known,"Yes, regularly",61-70%,2987,Deposit it in Co-operative,,Strongly disagree,Agree somewhat,Disagree somewhat,Strongly agree,Agree somewhat,Agree somewhat,I keep my accounts by remembering,I keep my accounts by remembering,No,No,Large store in same/nearby area,14,Cash & Credit both,Cash,Cash & Credit both,Credit,Cash & Credit both,Cash,Credit,2-3 days a week,"Yes, sometimes",Yes,No,5,6819,From a village Level savings Group,Strongly disagree,Disagree somewhat,2,3,3,No,,Others,Ran out of balance (airtime),No,"Yes, sometimes",Less than once a month,Less than once a month,Through my bank account,I always pay on time,Fee is too high,,9,39,2,1,3,1,4,Business account,In the past 30 days,Dhaka bank,Yes,Banks' website/online banking,37,48,I do not need a bank account,Yes,No,,,MCash,Merchant,,,Yesterday,No,2013,Highly increased,Once a week,Somewhat easy,Customers do not have trust on MFS account,No,Fear of hacking,Yes,Yes,1-10%,0%,61-70%,,358,1257,790,It is possible to pay remote payments through this,,"Yes, frequently","No, never","Yes, sometimes","Yes, frequently","No, never","No, never","No, never",Rarely,,"Other, please specify",Yes,Co-opeartive,One,No,No,None,Mud brick or C.I. sheet/wood,Yes,Three or more,None,No,No
,281,,,,,,RURAL,,,,Visit 1,,,281,No,,49,Female,No,Yes,Secondary education,,Cosmetic store,6,5,2,No Response,,Yes,20,Farming/agriculture,,Monitoring and inspections by regulatory bodies,,Business plan writing,Single proprietorship,Separate from resident,Own,Kutcha shack,Land phone line,No,1,0,0,,268,31,Between 76% - 100% customers are known,Rarely,Don?t know,2833,Keep it at store,,Strongly disagree,Strongly disagree,Strongly agree,Agree somewhat,Agree somewhat,Strongly disagree,Have a barcode scanner that automatically scans item and keeps accounts,Have a barcode scanner that automatically scans item and keeps accounts,Yes,Yes,Company distributor,8,Cash & Credit both,Cash,Credit,Cash,Cash,Credit,Cash,2-3 days a week,"No, never",No,Yes,5,96953,"From a bank, post office or microfinance institution",Strongly disagree,Strongly disagree,3,3,1,No,,Use bKash mobile money transactions,"Phone runs out of storage (space for saving picture, apps and other information)",No,Rarely,Less than once a month,Once a month,Other,Often have to ask for more time or for a loan,Takes long time,,6,48,2,2,2,0,1,One account for both- personal and business,In the past 90 days,AB bank,No,Mobile app/mobile banking,32,26,It is not permitted by my religion,Yes,No,,,bKash,Merchant,,,More than 90 days ago,No,2014,Highly increased,Daily,Very easy,I need cash money to run my business,Yes,High charge,Yes,No,61-70%,31-40%,Don?t know,,69,1334,400,It is possible to pay remote payments through this,,"No, never","Yes, frequently","No, never","Yes, sometimes","Yes, frequently","No, never","Yes, frequently",Rarely,,It's difficult to get cash out from my balance,Yes,Business association,One,No,No,One,Mud brick or C.I. sheet/wood,Yes,One,None,No,Yes
,282,,,,,,URBAN,,,,Visit 2,,,282,Yes,,53,Female,No,No,Secondary education,,Cosmetic store,2,5,3,Others,,Yes,16,Other,,Tax rates and state fees,,Hard to say,Single proprietorship,Separate from resident,Rent,Kutcha shack,Electronic Cash register,Yes,1,2,3,,174,48,Between 51 - 75% customers are known,"Yes, sometimes",71-80%,630,Keep it at store,,Strongly disagree,Agree somewhat,Agree somewhat,Strongly agree,Disagree somewhat,Strongly agree,Write it to my account book,Have a barcode scanner that automatically scans item and keeps accounts,Yes,No,Large store in same/nearby area,16,Cash & Credit both,Cash & Credit both,Cash & Credit both,Credit,Cash,Credit,Cash,Everyday,"Yes, sometimes",No,Yes,1,62762,From friends,Agree somewhat,Agree somewhat,3,3,3,Yes,Smartphone,Use bKash mobile money transactions,Do not face any problems,No,"Yes, frequently",Once a month,2-3 times a month,Mobile payment service,Sometimes have to ask for more time or for a loan,The suppliers or I do not always have a working phone,,5,37,2,4,4,4,0,Business account,In the past 30 days,First Security Islami bank ltd.,No,Mobile app/mobile banking,49,19,I like to transact in cash,Yes,No,,,Ucash,Merchant,,,In the past 7 days,No,2013,Somewhat increased,Once a month,Difficult,It do not add any value to my business,No,Do not know how to make payment through mobile phone,Yes,No,41-50%,1-10%,71-80%,,1530,1842,1485,It is safer than cash money,,Rarely,"Yes, sometimes","Yes, frequently","Yes, sometimes","Yes, sometimes","No, never","Yes, frequently","Yes, frequently",,I need cash money to run my business,Yes,Business association,Two,No,Yes,One,Mud brick or C.I. sheet/wood,No,One,Three or more,No,Yes
,283,,,,,,RURAL,,,,Visit 2,,,283,No,,61,Female,Yes,Yes,Madrasha Education,,Wholesale cum retail grocery shop,5,8,4,Receive money from migrant family members (Remittances),,No,19,Farming/agriculture,,Monitoring and inspections by regulatory bodies,,Business plan writing,Family business,Attached with residence,Other,Semi pucca shack,Electronic Cash register,No,0,2,0,,102,94,Between 26 - 50% customers are known,"Yes, regularly",51-60%,919,Don?t know/refuse,,Disagree somewhat,Disagree somewhat,Disagree somewhat,Strongly agree,Disagree somewhat,Disagree somewhat,Manually enter in the computer,I keep my accounts by remembering,Yes,Yes,Large store in same/nearby area,5,Cash,Credit,Credit,Cash,Cash & Credit both,Cash,Cash,Everyday,"Yes, sometimes",Yes,Yes,2,24523,From friends,Strongly disagree,Agree somewhat,1,3,3,Yes,Feature/basic/camera phone,Others,Network connectivity problem / poor mobile service,Yes,"Yes, frequently",2-3 times a month,Once a week,Cash,Often have to ask for more time or for a loan,Suppliers do not always have a mobile money account,,3,35,5,1,3,3,4,Personal account,Yesterday,NCC bank,Yes,Mobile app/mobile banking,49,47,I like to transact in cash,Yes,No,,,Ucash,Personal,,,In the past 90 days,Yes,2014,Highly decreased,Daily,Very easy,Many customers do not think that it is convenient or useful,No,Others,No,No,31-40%,81-90%,91-100%,,1988,1387,1002,Other,,Rarely,"No, never","Yes, sometimes","No, never","No, never","Yes, sometimes",Rarely,"Yes, frequently",,Many customers do not have a working cellphone,No,Business association,None,Yes,Yes,Two,"Hemp/hay/bamboo, or other",Yes,None,Three or more,No,Yes
,284,,,,,,URBAN,,,,Visit 2,,,284,No,,51,Male,No,Yes,Primary Education,,Retail grocery shop,7,8,1,Work for someone else (Wage employment),,Yes,12,Job/Paid employment,,Other please describe,,Network,Single proprietorship,Attached with residence,Own,Semi pucca shack,Business Cellphone (separate from owner?s personal),No,1,3,0,,110,33,Between 76% - 100% customers are known,"Yes, sometimes",41-50%,2217,Spend it immediately for personal expenses,,Agree somewhat,Strongly disagree,Strongly agree,Disagree somewhat,Agree somewhat,Strongly agree,Have a barcode scanner that automatically scans item and keeps accounts,Do not keep accounts daily,Yes,No,Company distributor,19,Cash & Credit both,Cash,Credit,Credit,Cash & Credit both,Cash,Cash,2-3 days a week,Rarely,Yes,Yes,3,29895,"From a bank, post office or microfinance institution",Disagree somewhat,Strongly disagree,3,3,3,Yes,Smartphone,Made/receive calls,Do not face any problems,Yes,Rarely,Once a month,Once a week,Mobile payment service,Other,Transaction limit is too low,,10,19,2,5,3,2,5,Business account,More than 90 days ago,IFIC bank,Yes,Mobile app/mobile banking,41,43,There are no banks nearby my residence,No,No,,,Rocket (DBBL),Personal,,,In the past 7 days,Yes,2013,About the same,2-3 times a month,Somewhat difficult,Many customers do not have money in their MFS account,No,Do not know how to make payment through mobile phone,Yes,Yes,31-40%,0%,0%,,697,2918,929,Shorter lines/ customers have to wait less time,,"Yes, frequently","Yes, sometimes",Rarely,"Yes, sometimes",Rarely,"Yes, sometimes","Yes, sometimes","Yes, frequently",,Many customers do not have money in their MFS account,Yes,Business association,Two,Yes,No,One,"Hemp/hay/bamboo, or other",Yes,None,None,Yes,No
,285,,,,,,URBAN,,,,Visit 1,,,285,No,,44,Male,No,Yes,Madrasha Education,,Variety/General store,1,8,4,No Response,,Yes,7,Job/Paid employment,,"Insufficient knowledge, information, business experience",,Finding and advise on equipment and technology,Single proprietorship,Separate from resident,Rent,Permanent kiosk,Business Cellphone (separate from owner?s personal),No,1,0,0,,271,75,Between 76% - 100% customers are known,"Yes, regularly",Don?t know,2084,Deposit it in a bank account,,Strongly agree,Strongly agree,Disagree somewhat,Agree somewhat,Strongly disagree,Disagree somewhat,Do not keep accounts daily,I keep my accounts by remembering,No,Yes,Large store in same/nearby area,17,Credit,Cash,Cash & Credit both,Credit,Credit,Cash,Cash & Credit both,Everyday,Rarely,Yes,Yes,1,37247,From a village Level savings Group,Agree somewhat,Agree somewhat,2,2,1,No,,Transfer phone credit,Do not face any problems,Yes,"Yes, frequently",Once a week,Once a week,Through my bank account,Other,Other,,3,18,5,0,3,0,4,Business account,In the past 90 days,Mutual Trust bank ltd.,Yes,Mobile app/mobile banking,10,23,Others,Yes,No,,,Rocket (DBBL),Personal,,,In the past 90 days,No,2017,Highly increased,Once a month,Somewhat easy,My phone or phone network is not working properly,No,High charge,No,Yes,Don?t know,1-10%,Don?t know,,1417,1486,725,It is convenient,,Rarely,"Yes, frequently","Yes, sometimes","Yes, sometimes","Yes, frequently","No, never","Yes, frequently","Yes, frequently",,I do not trust it,Yes,Business association,One,No,Yes,None,"Hemp/hay/bamboo, or other",Yes,Two,Two,Yes,No
,286,,,,,,URBAN,,,,Visit 1,,,286,No,,52,Male,No,Yes,Others,,Other (Specify),3,6,4,Work in your own activity and you are your own boss (Self-employment)/ Business,,Yes,15,Other,,Energy connection,,"Accounting, taxation, bookkeeping",Family business,Separate from resident,Rent,Large room(s) of pucca construction >100 sqmts,Land phone line,Yes,0,1,2,,211,96,Between 26 - 50% customers are known,"Yes, sometimes",81-90%,2369,Spend it immediately for personal expenses,,Strongly disagree,Disagree somewhat,Strongly disagree,Strongly disagree,Disagree somewhat,Disagree somewhat,Manually enter in the computer,I keep my accounts by remembering,Yes,No,Large store in same/nearby area,5,Cash,Credit,Credit,Cash,Cash,Credit,Cash & Credit both,4-6 days a week,"Yes, sometimes",Yes,No,1,18245,From friends,Agree somewhat,Strongly disagree,2,1,2,No,,Send/Receive SMS Text messages,"Phone runs out of storage (space for saving picture, apps and other information)",Yes,"Yes, frequently",Once a month,Less than once a month,Mobile payment service,Often have to ask for more time or for a loan,No trust on this service,,10,24,4,2,0,4,3,Business account,Yesterday,Social Islami bank ltd.,Yes,Banks' website/online banking,47,43,I have to pay tax,No,Yes,,,Rocket (DBBL),Personal,,,In the past 7 days,Yes,2015,Highly increased,2-3 times a week,Somewhat difficult,Customers do not have trust on MFS account,No,High charge,Yes,Yes,91-100%,81-90%,21-30%,,1205,2251,995,Other,,Rarely,Rarely,Rarely,"Yes, sometimes","Yes, sometimes",Rarely,"No, never",Rarely,,It do not add any value to my business,Yes,Business association,Two,No members at age 6-to-12,Yes,None,"Hemp/hay/bamboo, or other",No,Three or more,One,Yes,Yes
,287,,,,,,RURAL,,,,Visit 1,,,287,No,,19,Male,Yes,Yes,Post-Graduate University,,Other (Specify),1,7,1,Work for someone else (Wage employment),,No,1,Other,,Not applicable,,Business plan writing,Family business,Separate from resident,Other,Semi pucca shack,Internet connection,Yes,3,3,2,,295,60,Between 51 - 75% customers are known,Rarely,51-60%,370,Deposit it in Co-operative,,Disagree somewhat,Strongly agree,Strongly disagree,Agree somewhat,Agree somewhat,Agree somewhat,I keep my accounts by remembering,Manually enter in the computer,Yes,No,Company distributor,6,Cash & Credit both,Cash,Cash & Credit both,Cash & Credit both,Cash,Credit,Credit,Everyday,"No, never",Yes,No,4,10290,"From a bank, post office or microfinance institution",Agree somewhat,Strongly disagree,1,1,3,Yes,Smartphone,Others,Do not face any problems,No,"Yes, frequently",Once a week,Once a week,Mobile payment service,Often have to ask for more time or for a loan,I do not trust system,,2,16,5,3,5,5,2,One account for both- personal and business,Yesterday,Bank Asia ltd.,No,Other,12,33,I do not believe that my money will be safe in a bank,No,Yes,,,MCash,Personal,,,In the past 7 days,No,2013,Highly increased,Once a month,Very easy,I do not trust it,No,Supplier do not accept pyment through mobile payment system,No,Yes,41-50%,21-30%,61-70%,,1282,3907,123,It is safer than cash money,,"Yes, frequently","Yes, frequently","No, never",Rarely,"Yes, sometimes","Yes, sometimes","No, never","Yes, frequently",,I need cash money to run my business,Yes,Co-opeartive,Two,No members at age 6-to-12,No,One,Brick/cement,Yes,Two,Two,No,Yes
,288,,,,,,URBAN,,,,Visit 1,,,288,Yes,,49,Female,Yes,Yes,Post-Graduate University,,Wholesale cum retail grocery shop,5,7,2,Others,,No,9,Other,,Poor physical infrastructure,,Other please specify,Partnership,Attached with residence,Own,Small room of pucca construction < 100 sqmts,Computer,No,1,3,1,,257,52,Don't know,"Yes, regularly",1-10%,1085,Keep it at home/room,,Disagree somewhat,Disagree somewhat,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I keep my accounts by remembering,Do not keep accounts daily,No,No,Large store in same/nearby area,9,Credit,Credit,Cash,Cash & Credit both,Cash & Credit both,Cash,Cash & Credit both,2-3 days a week,Rarely,Yes,No,5,84305,"From a bank, post office or microfinance institution",Strongly disagree,Strongly disagree,1,3,2,No,,Others,"Phone runs out of storage (space for saving picture, apps and other information)",Yes,"Yes, sometimes",Once a week,2-3 times a month,Cash,Sometimes have to ask for more time or for a loan,Other,,6,27,5,3,5,5,3,One account for both- personal and business,In the past 7 days,Dutch Bangla bank,No,Mobile app/mobile banking,34,28,I like to transact in cash,No,Yes,,,MYCash,Merchant,,,In the past 7 days,No,2012,Highly increased,Daily,Somewhat difficult,Monthly transaction limits are too low,No,Others,Yes,No,51-60%,61-70%,11-20%,,1136,1403,1698,It helps the store?s marketing or attracts more customers,,"Yes, frequently",Rarely,"Yes, sometimes","No, never","No, never","No, never","Yes, sometimes","Yes, frequently",,Many customers do not think that it is convenient or useful,No,Micro-credit group,One,Yes,Yes,Three or more,Brick/cement,Yes,Three or more,Two,No,Yes
,289,,,,,,RURAL,,,,Visit 2,,,289,No,,64,Male,No,Yes,Not Formal Education,,Other (Specify),3,5,3,Work for someone else (Wage employment),,Yes,20,Farming/agriculture,,Energy connection,,Business plan writing,Partnership,Separate from resident,Other,Semi-permanent kiosk,Computer,No,1,2,3,,209,58,Don't know,Rarely,61-70%,2361,Don't have any money left at the end of the day,,Disagree somewhat,Agree somewhat,Agree somewhat,Strongly disagree,Strongly agree,Strongly disagree,Have a barcode scanner that automatically scans item and keeps accounts,Have a barcode scanner that automatically scans item and keeps accounts,Yes,No,Large store in same/nearby area,16,Cash & Credit both,Cash,Credit,Cash,Credit,Cash,Cash,2-3 days a week,Rarely,Yes,No,2,65803,From a village Level savings Group,Disagree somewhat,Disagree somewhat,3,3,2,No,,Use bKash mobile money transactions,Do not face any problems,No,"Yes, sometimes",2-3 times a month,2-3 times a month,Cash,I always pay on time,Transaction limit is too low,,3,31,4,4,2,2,5,One account for both- personal and business,More than 90 days ago,NCC bank,Yes,Other,51,32,Others,No,No,,,Others,Personal,,,In the past 7 days,No,2013,About the same,Once a month,Somewhat easy,It's difficult to get cash out from my balance,No,Supplier do not accept pyment through mobile payment system,Yes,Yes,0%,51-60%,71-80%,,276,1146,1639,It is convenient,,"No, never","No, never",Rarely,Rarely,"No, never",Rarely,"Yes, sometimes","Yes, frequently",,Many customers do not have a MFS account,Yes,Micro-credit group,None,No,Yes,Three or more,Mud brick or C.I. sheet/wood,No,Three or more,One,No,No
,290,,,,,,RURAL,,,,Visit 2,,,290,Yes,,54,Female,Yes,Yes,Madrasha Education,,Cosmetic store,6,7,5,Receive money from migrant family members (Remittances),,No,2,Job/Paid employment,,Poor physical infrastructure,,Other please specify,Partnership,Attached with residence,Rent,Kutcha shack,Computer,Yes,1,3,1,,117,24,Between 51 - 75% customers are known,"No, never",11-20%,1448,Don?t know/refuse,,Disagree somewhat,Strongly disagree,Disagree somewhat,Agree somewhat,Strongly disagree,Strongly agree,Have a barcode scanner that automatically scans item and keeps accounts,Write it to my account book,Yes,Yes,Wholesaler in wholesale market,17,Cash,Cash,Cash,Credit,Cash,Credit,Credit,4-6 days a week,Rarely,Yes,Yes,4,19194,From friends,Agree somewhat,Disagree somewhat,3,1,1,Yes,Smartphone,Use bKash mobile money transactions,Phone runs out of battery,Yes,"Yes, sometimes",Less than once a month,Once a week,Cash,Sometimes have to ask for more time or for a loan,Transaction limit is too low,,6,46,2,5,2,1,0,Business account,In the past 7 days,Dhaka bank,Yes,Banks' website/online banking,34,44,I do not believe that my money will be safe in a bank,No,No,,,bKash,Merchant,,,In the past 7 days,Yes,2017,About the same,2-3 times a month,Somewhat easy,Customers do not have trust on MFS account,Yes,Supplier do not accept pyment through mobile payment system,Yes,Yes,0%,71-80%,91-100%,,1161,1315,447,It is possible to pay remote payments through this,,"Yes, frequently",Rarely,Rarely,"Yes, frequently","Yes, sometimes","No, never",Rarely,Rarely,,Customers do not have trust on MFS acccount,Yes,Village level association (Informal),None,No,Yes,None,Mud brick or C.I. sheet/wood,Yes,Two,None,No,No
,291,,,,,,URBAN,,,,Visit 2,,,291,No,,61,Male,No,Yes,Others,,Variety/General store,4,7,4,Pension,,Yes,14,Job/Paid employment,,Hard to say,,"Accounting, taxation, bookkeeping",Partnership,Separate from resident,Rent,Kutcha shack,Electricity connection,No,0,2,3,,285,49,Don't know,Rarely,81-90%,401,Keep it at home/room,,Strongly agree,Strongly agree,Agree somewhat,Strongly disagree,Strongly agree,Strongly disagree,I keep my accounts by remembering,Do not keep accounts daily,Yes,No,Others,20,Credit,Credit,Cash,Credit,Cash & Credit both,Cash,Cash,4-6 days a week,Rarely,No,Yes,2,68356,"From a bank, post office or microfinance institution",Strongly disagree,Disagree somewhat,3,1,2,Yes,Feature/basic/camera phone,Others,Do not face any problems,No,"Yes, frequently",Less than once a month,2-3 times a week,Mobile payment service,Often have to ask for more time or for a loan,Other,,10,40,0,1,5,1,5,One account for both- personal and business,In the past 30 days,Sonali bank,No,Mobile app/mobile banking,7,23,I do not believe that my money will be safe in a bank,Yes,Yes,,,MYCash,Merchant,,,In the past 30 days,No,2013,Highly increased,2-3 times a week,Very easy,My phone or phone network is not working properly,No,Others,No,Yes,91-100%,1-10%,11-20%,,105,1579,1056,It helps the store?s marketing or attracts more customers,,Rarely,"Yes, sometimes","Yes, sometimes","No, never","No, never","Yes, frequently","Yes, sometimes","No, never",,Monthly transaction limits are too low,No,Micro-credit group,One,Yes,Yes,One,Mud brick or C.I. sheet/wood,Yes,One,Two,Yes,Yes
